MU21. TUL MU1
KE42 KAT KEM
YH32 PES HI2
LI21 TAV LIM

RAA6. ARK RAN
RUA6 KAJ RU1
RUB52 WAH EN1

KU21. GUT STU
KE42 KAT KEM
YH32 PES HI1

ENA72. OJL EN2
FY62 PAR FY1
SAA6 VIL SAK
ÄI52 TÖR ÄI2

RAA6. ARK RAN
RUA6 KAJ RU1
RUB52 WAH EN1

ESB8. SCH RAN
GE23 SÄR BIO
MAA92 VÄÄ MA1
SAB8 PYY KI1

ENA73. VIE EN1
MAA91 AIT MA3
MAB6 VÄÄ MA2

ESB8. SCH RAN
GE23 SÄR BIO
MAA92 VÄÄ MA1
SAB8 PYY KI1

BI52. bix MAA
ÄI53 HEL ÄI1
YH4 HÄM HI3

ENA73. VIE EN1
MAA91 AIT MA3
MAB6 VÄÄ MA1

ENA73. VIE EN2
MAA91 AIT MA3
MAB6 VÄÄ MA1

BI3. SÄR BIO
ENA63 MAT EN2
UE32 TEL KA1

RAA6. ARK RAN
RUA6 KAJ RU1
RUB52 WAH EN2

BI3. SÄR BIO
ENA63 MAT EN1
UE32 TEL KA1

KU21. GUT STU
KE42 KAT KEM
YH32 PES HI1

ENA72. OJL EN2
FY62 PAR FY1
SAA6 VIL SAK
ÄI52 TÖR ÄI2

BI52. bix MAA
ÄI53 HEL ÄI1
YH4 HÄM HI3

MU22. VII SAU
LI23 LEI LIM
KU23 NIO ATE

ESB8. SCH RAN
GE23 SÄR BIO
MAA92 VÄÄ MA2
SAB8 PYY KI1

BI3. SÄR BIO
ENA63 MAT EN2
UE32 TEL KA1

BI52. bix MAA
ÄI53 HEL ÄI1
YH4 HÄM HI3

ENA72. OJL EN2
FY62 PAR FY1
SAA6 VIL SAK
ÄI52 TÖR ÄI2


MU22. VII MU1
LI23 LEI LIM
KU23 NIO STU

KU22. GUT STU
LI22 TAV LIM

